name	cusip	firstyr	gvkey	lastyr	pdpco	pdpseq	begyr	endyr	match
"DII GROUP INC"	"232949"	1992	28305	1999	28305	1	1992	1999	
"HAMILTON FINANCIAL SERVICES"	"407367"	1992	28312	1995	28312	1	1992	1995	
"IPSWICH BANCSHARES INC"	"462633"	1993	28313	2001	28313	1	1993	2001	0
"RESOURCE BANCSHARES MTG GRP"	"761197"	1992	28314	2001	28314	1	1992	2001	
"VISTA BANCORP INC"	"92830R"	1993	28315	2001	28315	1	1993	2001	
"FOCUS ENHANCEMENTS INC"	"344159"	1992	28316	2006	28316	1	1992	2006	1
"STATION CASINOS INC"	"857689"	1992	28317	2006	28317	1	1992	2006	1
"FIRST CINCINNATI INC"	"31947Y"	1992	28319	1999	28319	1	1992	1999	
"CDW CORP"	"12512N"	1992	28320	2006	28320	1	1992	2006	
"FILA HOLDING S P A  -ADR"	"316850"	1992	28321	2002	28321	1	1992	2002	
"HEALTHCARE REALTY TRUST INC"	"421946"	1994	28322	2006	28322	1	1994	2006	
"ACADIA REALTY TRUST"	"004239"	1992	28323	2006	28323	1	1992	2006	
"QUANTECH LTD"	"74762K"	1995	28324	2001	28324	1	1995	2001	1
"TARANTELLA INC"	"876090"	1992	28325	2004	28325	1	1992	2004	1
"TRINET CORP REALTY TRUST INC"	"896287"	1992	28326	1998	28326	1	1992	1998	0
"HOLLYWOOD CASINO CORP  -CL A"	"436132"	1992	28332	2001	28332	1	1992	2001	
"INNOVATIVE GAMING CORP AMER"	"45764F"	1993	28333	2001	28333	1	1993	2001	
"MADECO SA  -ADR"	"556304"	1992	28334	2005	28334	1	1992	2005	0
"SIGNAL TECHNOLOGY CORP"	"826675"	1992	28337	2002	28337	1	1992	2002	1
"TRANSOCEAN INC"	"G90078"	1992	28338	2006	28338	2	1992	2006	1
"TANGER FACTORY OUTLET CTRS"	"875465"	1993	28340	2006	28340	1	1993	2006	0
"SKY FINANCIAL GROUP INC"	"83080P"	1993	28342	2006	28342	1	1993	2006	
"FLOTEK INDUSTRIES INC"	"343389"	2003	28347	2006	28347	1	2003	2006	1
"ALLSTATE CORP"	"020002"	1992	28349	2006	28349	1	1992	2006	
"KIMSOUTH REALTY INC"	"50047R"	1992	28351	2001	28351	1	1992	2001	0
"METRO FINANCIAL CORP"	"59160P"	1993	28353	1994	28353	1	1993	1994	
"NORTHSTAR HEALTH SVCS INC"	"666903"	1992	28354	1999	28354	1	1992	1999	
"PLAINTREE SYSTEMS INC"	"72663E"	1993	28355	2005	28355	1	1993	2005	1
"DISCOVERY ZONE INC"	"25468B"	1992	28362	1998	28362	1	1992	1998	1
"NUTMEG FED SVGS & LN ASSN/CT"	"670608"	1993	28364	1999	28364	1	1993	1999	
"OLICOM A/S"	"K7514Y"	1992	28371	2004	28371	1	1992	2004	1
"INTERLINK ELECTRONICS"	"458751"	1992	28374	2005	28374	1	1992	2005	1
"RENAISSANCE ENTMT CORP"	"75966Q"	1993	28376	2002	28376	1	1993	2002	
"LIONS GATE ENTERTAINMENT CP"	"535919"	1997	28378	2006	28378	1	1997	2006	
"ORTHOFIX INTERNATIONAL NV"	"N6748L"	1991	28380	2006	28380	1	1991	2006	
"TVSL SA"	"L9340B"	1992	28381	2004	28381	1	1992	2004	
"NEW DIMENSION SOFTWARE LTD"	"M74295"	1991	28382	1998	28382	1	1991	1998	
"ATTUNITY LTD"	"M15332"	1991	28383	2006	28383	1	1991	2006	0
"SAPIENS INTERNATIONAL CORP"	"N7716A"	1991	28384	2005	28384	1	1991	2005	0
"MAGAL SECURITY SYSTEMS LTD"	"M6786D"	1992	28385	2005	28385	1	1992	2005	1
"LANOPTICS LTD"	"M6706C"	1991	28386	2006	28386	1	1991	2006	0
"CARLISLE HOLDINGS LTD-OLD"	"P2199X"	1993	28387	1996	28387	1	1993	1996	
"ALDILA INC"	"014384"	1992	28388	2006	28388	1	1992	2006	1
"AMERICAN SAFETY RAZOR"	"029362"	1992	28389	1998	28389	1	1992	1998	1
"MARINER HEALTH GROUP INC"	"56845J"	1992	28391	1997	28391	1	1992	1997	
"REGIONAL ACCEPTANCE CORP"	"758935"	1992	28392	1995	28392	1	1992	1995	
"ELLETT BROTHERS INC"	"288398"	1992	28395	2000	28395	1	1992	2000	1
"PAPA JOHNS INTERNATIONAL INC"	"698813"	1992	28397	2006	28397	1	1992	2006	1
"SUNGLASS HUT INTL INC"	"86736F"	1992	28398	1999	28398	1	1992	1999	
"MONDAVI ROBERT CORP  -CL A"	"609200"	1992	28403	2004	28403	1	1992	2004	0
"AMERIGON INC"	"03070L"	1992	28408	2006	28408	1	1992	2006	1
"BANCO DE GALICIA BUENO  -ADR"	"059538"	1993	28409	2001	28409	1	1993	2001	
"BARRETT BUSINESS SVCS INC"	"068463"	1992	28410	2006	28410	1	1992	2006	
"BURLINGTON RES COAL SEAM GAS"	"122016"	1992	28411	1998	28411	1	1992	1998	
"LENOX GROUP INC"	"526262"	1992	28414	2006	28414	1	1992	2006	
"HOLLY RESIDENTIAL PPTYS INC"	"436023"	1993	28416	1993	28416	1	1993	1993	
"IMAGE BUSINESS SYSTEMS CORP"	"452437"	1992	28418	1993	28418	1	1992	1993	1
