pdpass	pdpco1	source	begyr1	gvkey1	endyr1	pdpco2	begyr2	gvkey2	endyr2	pdpco3	begyr3	gvkey3	endyr3	pdpco4	begyr4	gvkey4	endyr4	pdpco5	begyr5	gvkey5	endyr5
10705894	5122	"MTCH1"	1974	5122	2000	10453	2001	10453	2005												
10706136	31749	"MTCH1"	1995	31749	2001																
10706206	14339	"NBER"	1987	14339	1995																
10706536	9135	"MTCH1"	1981	9135	1990																
10706644	7182	"NBER"	1972	7182	1996	1300	1997	1300	2005												
10706804	6403	"NBER"	1950	6403	2005																
10707084	162254	"MTCH1"	1950	2827	1985	162254	1987	13934	1996	162254	1998	125434	2002	162254	2003	162254	2006				
10707524	9494	"UPDT2"	1974	9494	1997																
10707766	11288	"NBER"	1956	11288	1999	8530	2000	8530	2005												
10707984	9057	"NBER"	1960	9057	1984	10744	1985	10744	1989												
10708088	3872	"FRAT"	1980	3872	2005																
10708187	3121	"NBER"	1967	3121	2006																
10708541	1632	"MTCH1"	1968	1632	2006																
10709116	63605	"MTCH1"	1994	63605	2006																
10710129	3524	"NBER"	1960	3524	1996	1036	1997	1036	2000	5087	2001	5087	2005								
10710197	8545	"NBER"	1961	8545	1989	17225	1990	17225	2005												
10710489	6430	"MTCH1"	1960	6430	1986																
10710661	8687	"PASS1"	1960	8687	2006																
10710869	4145	"FRAT"	1955	4145	2006																
10710875	4245	"NBER"	1982	4245	2005																
10711624	11313	"NBER"	1961	11313	2006																
10711789	1263	"MTCH1"	1987	1263	2006																
10711835	4559	"PASS1"	1974	4559	1984																
10711939	7652	"MTCH1"	1975	7652	2006																
10711949	1598	"MTCH1"	1950	1598	2006																
10712069	5482	"NBER"	1960	5482	1990																
10712104	160498	"MTCH1"	2002	160498	2006																
10712338	17436	"MTCH1"	1998	17436	2006																
10712481	2566	"NBER"	1972	2566	1999																
10712510	8643	"MTCH1"	1963	8643	1988																
10712532	10394	"MTCH1"	1983	10394	2002																
10712625	115377	"MTCH1"	1972	11317	1990	115377	1996	115377	1997												
10712679	1377	"MTCH1"	1974	1377	1985																
10712942	10084	"MTCH1"	1982	10084	1997																
10713165	11138	"NBER"	1965	11138	1988																
10713199	9799	"NBER"	1960	9799	2005																
10713340	13766	"PASS1"	1986	13766	1990																
10713436	9606	"PASS1"	1980	9606	1982	8357	1983	8357	2005												
10713449	9224	"NBER"	1979	9357	1981	9224	1982	9224	1999												
10713914	5650	"MTCH1"	1973	5650	2006																
10714101	9384	"NBER"	1960	9384	1995																
10714642	103159	"MTCH1"	1994	103159	2003																
10715385	7486	"NBER"	1962	7486	2006																
10715391	10443	"NBER"	1958	10443	2006																
10715491	2039	"MTCH1"	1960	2039	1986																
10715665	13700	"NBER"	1960	3874	1981	13700	1986	13700	2006												
10715866	1514	"PASS1"	1976	1514	1989																
10715985	5115	"PASS1"	1983	5115	1987																
10716263	4961	"PASS1"	1950	4961	1999																
10716395	8486	"PASS1"	1964	8486	2006																
10716503	9465	"NBER"	1957	9465	2006																
10716510	7557	"NBER"	1960	7557	1998																
10716726	11217	"UPDT2"	1983	11217	2006																
10716803	6427	"NBER"	1965	6427	1996																
10717679	7652	"MTCH1"	1975	7652	2006																
10717735	5782	"FRAT"	1971	5782	2001																
10718828	9810	"NBER"	1962	9810	1998																
10719171	8463	"NBER"	1969	8463	2006																
10719327	11904	"NBER"	1985	11904	1998	10787	1999	10787	2005												
10719419	64690	"MTCH1"	1995	64690	2006																
10719535	11749	"MTCH1"	1984	11749	2005																
10719815	9316	"MTCH1"	1950	9316	1985																
10720009	1430	"PHRM"	1950	1430	1993	1478	1994	1478	2006												
10720308	8451	"NBER"	1968	8451	1990																
10720326	27936	"PASS1"	1992	27936	2006																
10720556	3489	"NBER"	1950	3489	1984																
10720603	2272	"NBER"	1950	2272	1983																
10720674	4926	"NBER"	1962	4926	2006																
10720855	6830	"NBER"	1960	6830	2006																
10720877	10747	"NBER"	1969	10747	1977	9548	1988	9548	1997	8479	1998	8479	2005								
10720947	2958	"PASS1"	1974	2958	1981																
10721153	2249	"PASS1"	1983	2249	1998																
10721311	3333	"FRAT"	1971	3333	2005																
